image,label
[1],58
[0],132
[0],74
[1],132
[0],194
[0],56
[1],184
[0],83
[0],36
[0],31
[1],123
[0],8
[1],74
[0],130
[1],177
[0],19
[0],191
[1],63
[0],152
[1],86
[0],100
[0],15
[0],4
[0],179
[1],183
[1],154
[0],102
[0],153
[0],34
[0],32
[1],144
[0],73
[0],80
[1],153
[0],12
[1],47
[0],5
[0],163
[1],82
[1],171
[1],179
[0],96
[0],49
[0],76
[0],149
[1],115
[0],18
[0],121
[0],162
[1],86
[0],95
[1],110
[1],107
[1],4
[1],159
[1],175
[0],182
[1],72
[0],140
[0],168
[0],106
[1],34
[1],101
[0],43
[1],143
[1],145
[1],98
[0],133
[1],106
[1],5
[0],178
[0],170
[1],131
[1],93
[1],57
[1],9
[1],83
[0],132
[0],81
[0],164
[0],144
[1],26
[1],118
[0],84
[1],110
[1],167
[1],112
[1],182
[1],95
[1],193
[0],65
[1],86
[1],156
[1],59
[0],185
[0],84
[0],172
[0],17
[0],44
[0],126
[1],87
[0],66
[1],56
[1],108
[1],116
[0],196
[1],48
[0],51
[1],58
[0],118
[1],30
[1],147
[1],56
[0],131
[1],79
[0],91
[0],111
[0],54
[1],193
[0],22
[1],1
[0],62
[1],75
[0],161
[0],188
[1],180
[0],104
[0],15
[1],97
[1],166
[1],159
[0],66
[1],129
[1],39
[0],61
[0],116
[0],76
[1],189
[0],179
[0],191
[1],156
[0],77
[1],37
[1],32
[0],149
[0],49
[1],10
[0],34
[1],183
[1],116
[1],91
[1],102
[0],113
[0],48
[1],128
[0],65
[0],89
[0],36
[1],82
[0],146
[0],124
[1],87
[1],96
[1],131
[1],134
[0],44
[1],98
[0],72
[1],115
[1],144
[1],35
[0],181
[1],22
[0],12
[1],68
[1],196
[1],10
[0],186
[1],102
[0],137
[0],93
[0],66
[1],181
[0],17
[1],188
[1],68
[0],117
[0],49
[1],140
[0],166
[1],5
[1],4
[1],35
[0],50
[1],85
[0],108
[1],66
[0],135
[1],103
[0],143
[1],163
[1],7
[0],130
[0],164
[0],160
[0],177
[1],23
[1],25
[1],128
[0],159
[0],78
[0],78
[0],168
[1],87
[1],121
[0],73
[1],58
[0],107
[1],153
[0],162
[1],150
[1],77
[0],50
[0],110
[0],4
[1],95
[1],78
[1],5
[0],110
[1],78
[1],124
[0],166
[1],194
[1],44
[0],113
[0],192
[0],148
[1],161
[0],174
[1],163
[1],137
[0],41
[1],31
[0],75
[0],179
[1],135
[0],108
[0],85
[1],80
[1],132
[0],166
[1],101
[1],71
[0],119
[0],23
[0],20
[1],46
[0],44
[1],195
[0],32
[0],13
[0],122
[0],174
[0],163
[1],49
[0],161
[1],39
[1],92
[0],17
[0],62
[1],11
[0],41
[1],159
[1],8
[0],8
[0],154
[1],39
[0],40
[1],114
[0],70
[0],191
[0],108
[1],191
[0],154
[0],101
[0],87
